"David","Gibson","SERVICE-MECHANIC HELPER, COMPRESSED-GAS EQUIPMENT"
"James","Randall","ATOMIC-FUEL ASSEMBLER"
"Victoria","Young","CIGARETTE VENDOR"
"Diana","Dickens","CORE-DRILL OPERATOR"
"Tracey","Newman","PULLER-THROUGH"
"Wanda","Cornish","CLINICAL SOCIOLOGIST"
"Abigail","Glover","NURSE, SUPERVISOR, COMMUNITY-HEALTH NURSING"
"Joan","Peake","ROLLER, HAND"
"Justin","Martin","BOOKING PRIZER"
"Adrian","Poole","SCHOOL-PLANT CONSULTANT"
"Leah","Avery","UPPER-AND-BOTTOM LACER, HAND"
"William","Thomson","COOLING-ROOM ATTENDANT"
"Una","Smith","SCREWMAKER, AUTOMATIC"
"Joe","Mackay","TIPPLE OPERATOR"
"Neil","White","BRAZING-MACHINE OPERATOR"
"Joanne","Fisher","VACUUM-DRIER OPERATOR"
"Peter","Wilson","FISH CHOPPER, GANG KNIFE"
"Alexandra","MacDonald","SUPERVISOR, LUBRICATION"
"Anna","Turner","FISHING-TOOL TECHNICIAN, OIL WELL"
"Gordon","Rutherford","HAIR-SPINNING-MACHINE OPERATOR"
"Evan","Gray","CONCENTRATOR OPERATOR"
"Joshua","Underwood","SUPERVISOR, ADJUSTABLE-STEEL-JOIST-SETTING"
"Jasmine","Hardacre","ARRANGER"
"Piers","Bailey","NEON-SIGN SERVICER"
"Mary","James","MATTRESS FINISHER"
"Molly","Forsyth","TURBINE-BLADE ASSEMBLER"
"Samantha","Langdon","SUPERVISOR, AIRCRAFT MAINTENANCE"
"Liam","Black","BOTTLE PACKER"
"Gavin","Stewart","TEACHER, DRAMA"
"Wanda","Underwood","SUPERVISOR, HISTORIC SITES"
"Stewart","Ball","LAGGING-MACHINE OPERATOR"
"Victor","Watson","APPRAISER, AUTOMOBILE DAMAGE"
"Sebastian","Churchill","COPY CUTTER"
"Gavin","Mackay","WALLPAPER PRINTER I"
"Kevin","Greene","CHAR-DUST CLEANER AND SALVAGER"
"Megan","Hunter","MACHINE SETTER-AND-REPAIRER"
"Caroline","Rees","COATING-MACHINE FEEDER"
"Zoe","Peake","WEATHER CLERK"
"Mary","Mathis","CONCENTRATOR OPERATOR"
"Robert","Davidson","CLOTH EXAMINER, MACHINE"
"Jacob","Welch","SALESPERSON, STAMPS OR COINS"
"Tim","Powell","SKEIN-YARN DRIER"
"Mary","Butler","LEAD-CASTER HELPER"
"Phil","Glover","SWITCHBOARD OPERATOR"
"Neil","Langdon","COFFEE MAKER"
"Andrew","Hardacre","KETTLE TENDER I"
"Audrey","Davidson","GLAZING OPERATOR, BLACK POWDER"
"Phil","Arnold","FEED AND FARM MANAGEMENT ADVISER"
"Audrey","Murray","STATIONARY ENGINEER"
"Gordon","Ellison","BILLING-CONTROL CLERK"
"Felicity","McLean","METALLURGICAL TECHNICIAN"
"Dorothy","Underwood","CRAYON-SORTING-MACHINE FEEDER"
"Stephen","Smith","ASSEMBLER AND WIRER, INDUSTRIAL EQUIPMENT"
